Job,Company,Location,Publication date,Company's rate
Offre d'emploi en cdi à nancy (59) : data analyst/data scientist,Not specified,"Acass
 - 54 - Nancy",3,Not specified
Data analyst marketing,Not specified,33 - Bordeaux,3,Not specified
Business analyst / moa data f/h - maîtrise d'ouvrage et fonctionnel,Not specified,"Sync-Digitals
 - 92 - Hauts De Seine",3,Not specified
Data analyst / data manager (h/f) (dxqp556,Not specified,67 - Bischheim,3,Not specified
Data analyst- auditeur - inspecteur,Not specified,France,3,Not specified
Marketing data analyst,Not specified,42 - Andrezieux Boutheon,3,Not specified
"Business analyst, consultant amoa",It-Development Sas,La Tour-de-Salvagny (69),4,"['5,0']"
Data scientist / data analyst,Siderlog,Nantes (44),4,Not specified
Data scientist / data analyst,Siderlog,Nantes (44),4,Not specified
Études et prospectives socio-économiques,Not specified,59 - Nord,4,Not specified
Apprentice,Iqvia,Courbevoie (92),4,"['3,8']"
Analyste concepteur de test squash jira / freelance,Freelance Vision,Niort (79),4,Not specified
Apprentice,Iqvia,Courbevoie (92),4,"['3,8']"
Data analyst,Not specified,92 - Montrouge,4,Not specified
Data analyst,Not specified,92 - Montrouge,4,Not specified
Business analyst data,Not specified,75 - Paris (Dept.),4,Not specified
Analyste quantitatif market risk modelling,Natixis,Paris (75),4,"['4,0']"
Apprenti-e business analyst hp,Hp,Grenoble (38),4,"['4,0']"
Data engineer,Shippeo,Paris 10e (75),5,Not specified
Cash management it business analyst data warehouse,Avista,Montrouge (92),5,Not specified
Data analyst security level 3,It Services Co.,Paris (75),5,Not specified
Data analyst senior,Not specified,"Citech C&Apos
 - 92 - Puteaux",5,Not specified
Analyste résultats facturation et support clients,Natixis,Charenton-le-Pont (94),5,"['3,5']"
Ingénieur système analyste de données (data scientist,Carmat,France,5,"['3,5']"
Cash management it business analyst data warehouse,Not specified,92 - Montrouge,5,Not specified
Customer care operations manager,Back Market,Bordeaux (33),5,"['4,5']"
Alternance - marketing analyst & communication - master 1/2...,Schneider Electric,France,5,"['3,9']"
Operations analyst,Lydia App,Paris (75),5,Not specified
Revenue analyst,Doctolib,Paris (75),5,"['4,0']"
Alternance - marketing analyst & communication - master 1/2...,Schneider Electric,France,5,"['3,9']"
Business analyst finance data / freelance,We +,Paris (75),5,Not specified
Its service owner chromatography data system m,Sanofi,Lyon (69),5,"['4,1']"
Consultant data viz niveau iii,Tafinar,Saint-Jean-de-Braye (45),5,Not specified
Business analyst finance data / freelance,We +,Paris (75),5,Not specified
Ingénieur système analyste de données (data scientist,Carmat,France,5,"['3,5']"
Data analyst-finances,Total,Hauts-de-Seine,5,"['4,0']"
Data engineer,Shippeo,Paris 10e (75),5,Not specified
Revenue analyst,Doctolib,Paris (75),5,"['4,0']"
Axance - digital analyst h/f - id,Devoteam,Paris (75),5,"['3,8']"
Business analyst / moa finance f/h (fim,Devoteam,Levallois-Perret (92),5,"['3,8']"
Consultant analyste comptable / freelance,Siderlog Atlantique,Niort (79),5,Not specified
Business analyst décisionnel sénior informatica/ datastage/...,Ilyeum,La Défense (92),5,Not specified
Corporate finance analyst,British American Tobacco,La Défense (92),5,"['4,4']"
Data scientist,Askills,Lyon (69),5,Not specified
Icloud drive - data analytics engineer,Apple,Paris (75),5,"['4,2']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Chef de projet décisionnel - data intelligence,Micropole,Levallois-Perret (92),6,"['3,2']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Analyst / associate - valuations,Alvarez & Marsal,Paris (75),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Equity market data analyst,Natixis,Paris 13e (75),6,"['4,0']"
Chargé de marketing relationnel,Truffaut,Lisses (91),6,"['3,5']"
Chef de projet business analyst / freelance,It&M Consulting,Paris (75),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Production analyst,Bdmjob,Rennes (35),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst/consultant amoa,Devolis,Le Petit-Quevilly (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst/consultant amoa,Devolis,Le Petit-Quevilly (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Cdi - data analyst,Autobiz,Courbevoie (92),6,"['3,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Consultant data quality h/f / freelance,Ava2I,Versailles (78),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Chef de projet business analyst / freelance,It&M Consulting,Paris (75),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst - team leader,Ovh,Paris (75),6,"['3,5']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Analyste développeur as400 / plex,Gmes,Le Lamentin (MQ),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
2 testeurs informatique analyste fonctionnel (f/h) - cdi,Axaltec,Paris (75),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Analyst risque de crédit h/f (fim,Devoteam,Levallois-Perret (92),6,"['3,8']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Senior data analyst,Louisville Metro Government,Saint-Laurent-du-Var (06),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Analyste / développeur,Microtec Informatique,Le Mans (72),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Equity market data analyst,Natixis,Paris (75),6,"['3,5']"
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Digital data analyst,Not specified,75 - Paris (Dept.),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Data analyst - groupe raja,Not specified,"Groupe Raja
 - 95 - Roissy En France",6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst / data steward f/h - etudes socio-économiques,Not specified,"Ratp
 - 75 - Paris (Dept.)",6,Not specified
Data analyst sénior,Not specified,92 - Puteaux,6,Not specified
Data analyst confirmé - cdi,Not specified,75 - Paris (Dept.),6,Not specified
Business analyst,Centre Europeen De Formation,Villeneuve-d'Ascq (59),6,"['4,0']"
Chef de projet data analyst,Not specified,33 - Bordeaux,6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Inance data analyst / moa,Not specified,75 - Paris (Dept.),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
Data analyst- auditeur   inspecteur,Not specified,75 - Paris (Dept.),6,Not specified
Data analyst,Filiassur,Le Havre (76),6,Not specified
"Data analyst f/h - chargé d'affaires, technico-commercial",Not specified,"Saj Advice
 - 75 - Paris (Dept.)",7,Not specified
Data analyst f/h - informatique de gestion,Not specified,"Wesense
 - 92 - Hauts De Seine",7,Not specified
Chargé(e) d'études pilotage de la performance commerciale h/...,Groupama Rhône Alpes Auvergne,Lyon (69),7,"['3,6']"
Data analyst f/h - marketing,Not specified,"Smacl Assurances
 - 79 - Sèvres (Deux)",7,Not specified
Data observability engineer,Criteo,Paris (75),7,"['4,0']"
Analyste gestion de bilan-,Société Générale,La Plaine-Saint-Denis (93),7,"['3,9']"
Apprenti.e junior strategic & business intelligence analyst...,Thales Group,Vélizy-Villacoublay (78),7,"['4,0']"
Apprenti traducteur et rédacteur technique,Talend,Suresnes (92),7,"['4,0']"
Data analyst - alternance-,Ald Automotive,Rueil-Malmaison (92),7,"['3,9']"
Business analyst,Not specified,75 - Paris 01,7,Not specified
Business analyste/consultant bi,Psapeugeotcitroen,Poissy (78),7,"['4,0']"
Data observability engineer,Criteo,Paris (75),7,"['4,0']"
Data analyst,Saj Advice,Paris 1er (75),7,Not specified
Business analyste/consultant bi,Psapeugeotcitroen,Poissy (78),7,"['4,0']"
Analyste gestion de bilan-,Société Générale,La Plaine-Saint-Denis (93),7,"['3,9']"
Vc analyst intern - paris,Sainoo,Paris (75),7,Not specified
Alternance - assistant ingénieur it big data,La Banque Postale,Paris (75),7,"['3,8']"
Operations analyst (stage,Heetch,Paris (75),7,"['4,2']"
Data manager / analyst - docteur pierre ricaud,Groupe Yves Rocher,Issy-les-Moulineaux (92),8,"['4,1']"
Analyste de laboratoire,Mylan Laboratories Sas,Châtillon-sur-Chalaronne (01),8,"['3,7']"
"Business analyst, headquarters",Pernod Ricard Austria,Paris (75),8,"['4,2']"
Data analyst sénior,Citech,Puteaux (92),8,Not specified
Inancial analyst we,Intuitive,Bordeaux (33),8,Not specified
Credit risk analyst,Westcon-Comstor,Asnières-sur-Seine (92),8,"['4,0']"
"Business analyst, headquarters",Pernod Ricard Austria,Paris (75),8,"['4,2']"
Data analyst,Infoplus Technologies,Paris (75),8,Not specified
Assistant(e) chef de produits junior - stage de 6 mois à par...,Babymoov,France,8,"['4,3']"
Derivatives analyst crdb,Axaim Global Coo,Puteaux (92),8,Not specified
Data scientist / actuaire -,April,Lyon (69),8,"['3,4']"
Alternance - global data hub - offer marketing data analyst,Schneider Electric,Carros (06),8,"['3,9']"
Alternant acheteur projets et opérations,Groupe Yves Rocher,La Gacilly (56),8,"['4,1']"
Data analyst - ketchapp f/h - etudes socio-économiques,Not specified,"Ubisoft
 - 93 - Seine Saint Denis",8,Not specified
Contrôleur de gestion / business analyst,Pernod Ricard Austria,Marseille (13),8,"['4,2']"
Data analyst,Harvest,Paris 8e (75),8,Not specified
Data analyst f/h - etudes socio-économiques,Not specified,"Filiassur
 - 76 - Seine Maritime",8,Not specified
Alternant (e) data analyst junior ou chef de projet junior d...,Enie Gbs,Saint-Ouen (93),8,Not specified
Data analyst bi en alternance,Crédit Agricole Brie Picardie,Meaux (77),8,"['3,9']"
Data analyst bi f/h - informatique de gestion,Not specified,"Capfi Vita Data
 - 75 - Paris (Dept.)",8,Not specified
Data analyst,Not specified,94 - Maisons Alfort,8,Not specified
Consultant informatique bi/data - pré-embauche,Logteam,Paris (75),8,Not specified
Derivatives analyst crdb,Axaim Global Coo,Puteaux (92),8,Not specified
Data analyst f/h - etudes socio-économiques,Not specified,"Harvest
 - 75 - Paris (Dept.)",8,Not specified
Data manager / analyst - docteur pierre ricaud,Groupe Yves Rocher,Issy-les-Moulineaux (92),8,"['4,1']"
Chef de projet data analyst,Not specified,"Cdiscount
 - 33 - Bordeaux",8,Not specified
"Business analyst, headquarters",Pernod Ricard Austria,Paris (75),8,"['4,2']"
Data analyste informatique senior,Not specified,"Citech
 - 92 - Puteaux",8,Not specified
Consultant en dématérialisation et archivage electronique f/...,Xdemat,Toulouse (31),8,Not specified
Data analyst,Infoplus Technologies,Paris (75),8,Not specified
Data analyst (concepteur denodo,Not specified,"Celad
 - 13 - Aix En Provence",8,Not specified
Data quality analyst senior,Not specified,33 - Bordeaux,8,Not specified
Analyste business intelligence -,Avril,Bruz (35),9,"['3,4']"
People strategy analyst,Doctolib,France,9,"['4,0']"
Senior market data analyst,Axaim Global Coo,Puteaux (92),9,Not specified
Alternance hr data analyst h/f (arh-4462,Bolloré Group,Puteaux (92),9,"['3,4']"
Analyste controleur de gestion (f/h) - alternant,Owens Corning,Chambéry (73),9,Not specified
Senior market data analyst,Axaim Global Coo,Puteaux (92),9,Not specified
Data manager snds,Heva,Lyon 6e (69),9,Not specified
Analyste controleur de gestion (f/h) - alternant,Owens Corning,Chambéry (73),9,Not specified
Digital business analyst for global ecommerce delegation sup...,Allianz Partners,Paris (75),9,"['3,9']"
Inancial management analyst,U.S. Embassy & Consulates In France,Paris (75),9,Not specified
Cdi - analyste crédit titrisations,La Banque Postale,Paris (75),9,"['3,8']"
Data analyst,Not specified,75 - Paris 01,9,Not specified
Business analyst data - anglais bon,Not specified,92 - Montrouge,9,Not specified
Alternance hr data analyst h/f (arh-4462,Bolloré Group,Puteaux (92),9,"['3,4']"
Senior ou manager data analyst - paris - f/h - informatique industrielle,Not specified,"Mazars Sa
 - 92 - Hauts De Seine",9,Not specified
Saint laurent business analyst junior h/f - cdd,Groupe Kering,Paris (75),9,"['3,6']"
Business analyst europe,Psapeugeotcitroen,Poissy (78),9,"['4,0']"
Marketing data analyst f/h - marketing,Not specified,"Adito Developpement
 - 42 - Loire",10,Not specified
Data analyst ftt,Not specified,92 - Meudon,10,Not specified
Data analyst- auditeur - inspecteur,Not specified,75 - Paris (Dept.),10,Not specified
Data quality analyst senior,Not specified,33 - Bordeaux,10,Not specified
Analyste technique,Fraikin,Colombes (92),10,"['3,4']"
Offre d'emploi en cdi à  nancy (59) : data analyst/data scientist,Not specified,"Acass
 - 54 - Nancy",10,Not specified
Consultant confirmé ssis power bi,Not specified,Ile-De-France,10,Not specified
Études et prospectives socio-économiques,Not specified,92 - Meudon,10,Not specified
Analyste data performance,Not specified,92 - Meudon,10,Not specified
Data analyst r,Not specified,94 - Maisons Alfort,10,Not specified
Data analyst,Not specified,94 - Maisons Alfort,10,Not specified
Responsable data analyst,Not specified,92 - Meudon,10,Not specified
Lead data analyst,Not specified,33 - Bordeaux,10,Not specified
Data analyst expert,Not specified,62 - Pas De Calais,10,Not specified
Data analyst h/f en alternance,Pro À Pro,Montauban (82),10,"['2,7']"
Data analyst débutant h/f - alternance,Not specified,92 - Hauts De Seine,11,Not specified
Business analyst production de reports,Auchan Retail France,Villeneuve-d'Ascq (59),12,"['3,7']"
"Teacher task force, 2020 research consultant",Unesco,Paris (75),12,"['4,4']"
Senior data manager m,Nestle,Marne-la-Vallée (77),12,"['4,2']"
Internship - data analyst- hr insights (m,Dailymotion,Paris (75),12,"['3,9']"
Data analyst - ketchapp,Ubisoft,Montreuil (93),12,"['3,9']"
Sales effectiveness analyst - apprenticeship,Criteo,Paris 9e (75),12,"['4,0']"
Senior business analyst,Carrefour,Massy (91),12,"['3,9']"
Apprenti finance data analyst,Chubb France,Cergy-Pontoise (95),12,Not specified
Analyste conformité,Lydia App,Paris (75),12,Not specified
Analyste big data,Devenez,Nanterre (92),12,Not specified
Analyste big data,Devenez,Nanterre (92),12,Not specified
Apprenti finance data analyst,Chubb France,Cergy-Pontoise (95),12,Not specified
Data analyst - ketchapp,Ubisoft,Montreuil (93),12,"['3,9']"
Business analyst,Not specified,49 - Angers,13,Not specified
Data analyst,Anaya,Nantes (44),13,"['4,3']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst,Adroma Conseil,Nanterre (92),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
International treasury analyst,Alstom,Saint-Ouen (93),13,"['4,0']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Pricing & promotions analyst,Pladis,Hayes (57),13,"['3,4']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Chargé de projet data & business intelligence,Groupe Roullier,Saint-Malo (35),13,"['2,9']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Stage - consultant en stratégie data,Quantmetry,Paris 8e (75),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Alternance analyste statisticien,Sogetrel,Pérols (34),13,"['2,7']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Consultant en recrutement it data cloud h ou,Clementz Partners,Bordeaux (33),13,Not specified
Business analyst - marketing intern,Doctolib,France,13,"['4,0']"
Analyste décisionnel - business intelligence,Not specified,33 - Bordeaux,13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Analyste fonctionnel,Activus Group,Bordeaux (33),13,"['3,0']"
Data analyst,Anaya,Nantes (44),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Pricing & promotions analyst,Pladis,Hayes (57),13,"['3,4']"
Policy analyst,Ocde,Paris (75),13,"['4,1']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Chargé d'etudes commerciales - data analyst-,Société Générale,La Défense (92),13,"['3,9']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Policy analyst,Ocde,Paris (75),13,"['4,1']"
Analyste fonctionnel,Activus Group,Bordeaux (33),13,"['3,0']"
Business analyst finance,Somfy Group,Cluses (74),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Business analyst - marketing intern,Doctolib,France,13,"['4,0']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Chargé d'etudes commerciales - data analyst-,Société Générale,La Défense (92),13,"['3,9']"
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Développeur vba finance de marché - anglais bon / freelance,Innov And Co Diversité,Montrouge (92),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Data analyst senior,Mda,Lozanne (69),13,Not specified
Pricing & promotions analyst,Pladis,Hayes (57),13,"['3,4']"
Alternance - analyste corporate finance et m&a,Cegid,Lyon (69),14,"['3,1']"
Stage data analyst,Ratp Dev,Paris (75),14,"['3,1']"
Data analyst,Stimulab,Paris (75),14,Not specified
Alternance marketing data analyst -,La Française,Paris 6e (75),14,"['4,0']"
Cogs analyst junior,Pepsico,Colombes (92),14,"['3,8']"
Analyste marketing,Cpam Du Gard,Nîmes (30),14,"['3,6']"
Data engineer,Not specified,92 - Hauts De Seine,14,Not specified
Business analyst salesforce paris,Spikeelabs,Paris 15e (75),14,Not specified
Data analyst junior h/f - alternance,Teksial,Colombes (92),14,"['2,3']"
Data analyst / freelance,Groupe Hn,Lille (59),14,"['4,3']"
Data analyst,Not specified,"Avelis Telecom - Gpdis - Bardou
 - 69 - Lozanne",14,Not specified
Data analyst bi f/h - direction informatique,Not specified,"Fmg Sales And Marketing
 - 92 - Hauts De Seine",14,Not specified
Data analyst (h/f) / freelance,Freelancr,Lille (59),14,Not specified
"Data analyst f/h - système, réseaux, données",Not specified,"Anaya
 - 44 - Loire Atlantique",14,Not specified
Data analyst,Not specified,84 - Avignon,14,Not specified
Data analyst / freelance,Groupe Hn,Lille (59),14,"['4,3']"
Data analyst (h/f) / freelance,Freelancr,Lille (59),14,Not specified
Analyste des ventes,Jd Sports,Paris (75),15,"['3,2']"
Digital analyst - cro specialist,Francaise Des Jeux,Boulogne-Billancourt (92),15,"['4,1']"
Data analyst- auditeur – inspecteur,Caisse D’Epargne Ile De France,Paris (75),15,"['3,5']"
Alternance data analyste / datascience,Not specified,92 - Nanterre,15,Not specified
Data analyst- auditeur – inspecteur,Caisse D’Epargne Ile De France,Paris (75),15,"['3,5']"
Data analyst,Not specified,59 - Lille,15,Not specified
Data analyst- auditeur – inspecteur,Caisse D’Epargne Ile De France,Paris (75),15,"['3,5']"
Stage - business intelligence analyst,Scor,Paris (75),15,"['3,4']"
"Data analyst rh f/h - système, réseaux, données",Not specified,"Confidentiel
 - 44 - Loire Atlantique",15,Not specified
Data analyst- auditeur - inspecteur,Not specified,"Caisse D'Epargne Île De France
 - 75 - Paris 01",15,Not specified
Data scientist/analyst,Kertios,Suresnes (92),15,Not specified
Senior data analyst (m/f/d,Allianz Global Investors,Paris (75),15,"['3,9']"
Analyste de portefeuilles d'actifs financiers,Caisse Des Depots Et Consignations,Paris 7e (75),15,"['4,4']"
