Job,Company,Location,Publication date,Company's rate
Data analyst / developpeur,Not specified,44 - Nantes,30,Not specified
Data analyst,E.Leclerc,Ivry-sur-Seine (94),30,"['3,4']"
Data scientist analyst m,Danone,Paris (75),30,"['4,2']"
Data analyst,Sorex,France,30,"['3,5']"
Data analyst,Not specified,75 - Paris 01,30,Not specified
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Consultant data junior,Key Performance Consulting (Kpc),Bordeaux (33),30,Not specified
Data analyst internship,Quantilia,Nice (06),30,Not specified
Data scientist / experience analyst,Livementor,Paris (75),30,"['4,5']"
Data analyst,Bouygues Telecom,Meudon (92),30,"['3,8']"
Data analyst,Not specified,75 - Paris (Dept.),30,Not specified
Data analyst,Cenisis,Rennes (35),30,Not specified
Bi - data analyst,Not specified,92 - Nanterre,30,Not specified
"Big data - cash management (chef de projet, managers de projet, pmo, business analyst...",Not specified,75 - Paris 11,30,Not specified
Data analyst,Not specified,"Nova Technology
 - 59 - Lille",30,Not specified
Lead data analyst,Not specified,Hauts-De-France,30,Not specified
Data analyst,Not specified,06 - Biot,30,Not specified
Data analyst,Not specified,"Projob Carrières
 - 75 - Paris 09",30,Not specified
Data analyst,Not specified,"Michael Page
 - Ile-De-France",30,Not specified
Digital data analyst,Not specified,"Pierre Et Vacances-Center Parcs
 - 75 - Paris (Dept.)",30,Not specified
Data analyst finance f/h - etudes socio-économiques,Not specified,"Fyte
 - 51 - Marne",30,Not specified
Apprenti(e) data analyst,Not specified,France,30,Not specified
Data analyst - meralliance,Not specified,"Meralliance
 - 29 - Quimper",30,Not specified
Consultant risk data analyst / data scientist,Deloitte,La Défense (92),30,"['4,0']"
Data scientist/data analyst,Lenova,Échiré (79),30,Not specified
Data analyst,E.Leclerc,Ivry-sur-Seine (94),30,"['3,4']"
Data analyst h/f - lille,Not specified,59 - Lille,30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Not specified,"Ais
 - 44 - Nantes",30,Not specified
Light data analyst,Akka Technologies,Toulouse (31),30,"['3,1']"
Data analyst  -,Not specified,"Free
 - 75 - Paris 08",30,Not specified
Data analyst,Talentpeople,Boulogne-Billancourt (92),30,Not specified
Data quality analyst senior,Betclic Group,Bordeaux (33),30,"['4,7']"
Alternance - assistant data analyst,La Banque Postale,Paris (75),30,"['3,8']"
Data analyst,Taxis G7,Clichy (92),30,"['3,7']"
Information & data analyst,Bmw,Montigny-le-Bretonneux (78),30,"['3,9']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Research analyst,Fat & Associés,Toulouse (31),30,Not specified
Data analyst,Ogilvy,Paris (75),30,"['4,1']"
Data analyst junior (stage,Garantme,Paris (75),30,Not specified
Data analyst gcp,Mantu,Paris (75),30,Not specified
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Not specified,"Exteam
 - 94 - Val De Marne",30,Not specified
Stagiaire data scientist - business analyst,Ceva,Bordeaux (33),30,"['3,5']"
Data analyst,Singulart,Paris (75),30,Not specified
Data analyst – la marketplace référente en france,Konekt,Paris 10e (75),30,Not specified
Data analyst,Bouygues Telecom,Meudon (92),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Sarenza,Clichy (92),30,"['4,2']"
Poste - ingénieur web / data analyst,Hadopi,France,30,Not specified
Business data analyst (post bac) - contrat de professionnali...,Ey,France,30,"['4,0']"
Data analyst,Diagnostica Stago,Asnières-sur-Seine (92),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Ts data analyst - performance manager,Imerys,France,30,"['3,7']"
Data analyst,Dta Ingenierie,Nantes (44),30,Not specified
Data scientist analyst m,Danone,Paris (75),30,"['4,2']"
Data analyst,G7,Clichy (92),30,"['3,2']"
Web analyst,Cdiscount,Bordeaux (33),30,"['3,6']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst reliability,Psapeugeotcitroen,Vélizy-Villacoublay (78),30,"['4,0']"
Business data analyst,Actimage,Strasbourg (67),30,"['3,2']"
Data analyst,Sorex,France,30,"['3,5']"
Data analyst / scientist,Alltricks,Montigny-le-Bretonneux (78),30,"['4,0']"
Data scientist / data analyst,Ledger,Paris (75),30,Not specified
Data analyst,Nickel,Nantes (44),30,Not specified
Stage - data analyst junior,Axa Global Direct France,Suresnes (92),30,"['3,9']"
Data analyst / data scientist,Ametix,Levallois-Perret (92),30,"['3,8']"
Data analyst,Groupe Sturno,Avranches (50),30,Not specified
Data analyst intern,Adikteev,Paris (75),30,Not specified
Data analyst (stage,Fideliz,Paris 9e (75),30,Not specified
Data analyst internship,Quantilia,Nice (06),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyste,Tisseo Services,Gennevilliers (92),30,"['2,9']"
Data analyst,Linkfluence,Paris 9e (75),30,"['3,2']"
Data manager / data analyst,Digitick,Marseille (13),30,"['4,0']"
Data scientist analyst m,Danone,Paris (75),30,"['4,2']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Junior opinion data stagiaire,Angie,Paris 2e (75),30,Not specified
Analyste développeur bi,Actimage,Strasbourg (67),30,"['3,2']"
Business transformation analyst,Archer Daniels Midland Company,Morbihan,30,"['3,7']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Team manager data & ai (h/f) - bdx,Azeo Talents & Technology,Bordeaux (33),30,Not specified
Sales operations analyst,Talend,Suresnes (92),30,"['4,0']"
Data scientist h/f - niort,Maif,Niort (79),30,"['3,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Auditeur h/f 32-36k€,Fiteco,Caen (14),30,"['2,8']"
Tech talent recruteur (chief freelance officer,Cherry Pick,Paris (75),30,Not specified
[finance] business analyst market data,Meritis Finance,Paris (75),30,Not specified
Application designer,Iwe,Télétravail,30,Not specified
Data scientist marketing,Happn,Paris (75),30,Not specified
Retail credit risk analyst,Ing,France,30,"['4,0']"
Project manager data - pharmaceutique,Cognizant,Lyon (69),30,"['3,9']"
Data scientist,Finedigit,Paris (75),30,Not specified
Language or translation graduates - arabic or hebrew speaker...,Transperfect,Paris (75),30,Not specified
"Data engineer - developer & solution analyst (3d : digital,...",Caceis,Issy-les-Moulineaux (92),30,"['3,8']"
Smart weeding system digital analyst (w/m,Bayer,Lyon (69),30,"['4,2']"
Product analyst,Artur'In,Paris (75),30,Not specified
Junior social media analyst - chinese speaker,Linkfluence,Paris (75),30,"['3,2']"
Data labeller h/f (cdd - 4 mois minimum,Kayrros,Paris 9e (75),30,Not specified
Technical business analyst (junior,Jicap-Performance,Paris (75),30,Not specified
Data analyst (pfe,Actimage,Arcueil (94),30,"['3,2']"
Data analyst - business intelligence,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Portfolio analyst - big data f/h - stage 6 mois,Axa France,Nanterre (92),30,"['3,9']"
Data analyst expert,Crédit Agricole Nord De France,Lille (59),30,"['3,9']"
Analyste data,Science And Nature Laboratory Sas,Nueil-les-Aubiers (79),30,Not specified
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Data analyst smart factory,Wesmart,Paris (75),30,Not specified
Business analyst sir,Aubay,Nantes (44),30,"['3,3']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data scientist h/f - be4897,Pro Btp Groupe,Vincennes (94),30,"['2,7']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Stago,Asnières-sur-Seine (92),30,"['3,8']"
Consultant data scientist,Eversa,Neuilly-sur-Seine (92),30,Not specified
Business analyst m,Spie,France,30,"['3,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stagiaire consultant data science,M13H,Paris (75),30,Not specified
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Analyste data en contrat d'apprentissage,Teréga,Pau (64),30,Not specified
Data business analyst,Groupe Pierre & Vacances - Center Parcs,Paris (75),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst (pfe,Actimage,Arcueil (94),30,"['3,2']"
Analyste data quality management risques,La Banque Postale,Paris 6e (75),30,"['3,8']"
Analyste produit logiciel,Invoke Software,Nantes (44),30,Not specified
Business analyst salesforce,Spikeelabs,Nantes (44),30,Not specified
Alternance - 1 an - supply chain data analyst h/f - charento...,Natixis,Paris (75),30,"['3,5']"
Oresight analyst,Gie Axa,Paris (75),30,"['3,9']"
Insight analyst,Adot,Paris (75),30,Not specified
Data analyst / digital marketing internship,Urban Circus,Saint-Denis (93),30,Not specified
Kering total rewards analyst,Groupe Kering,Manche,30,"['3,6']"
Data engineer f/m,Danone,Saint-Ouen (93),30,"['4,2']"
Language data analyst - french speakers,Transperfect,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage - project portfolio analyst,Scor,Paris (75),30,"['3,4']"
Data analyst (w/m/d) - soziale netzwerke und drittplattforme...,Arte,Strasbourg (67),30,Not specified
Marketing analyst,Imerys,Paris (75),30,"['3,7']"
Data analytics teacher assistant (freelance mission,Ironhack,Paris 11e (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
"Apprentissage - data analyste, data management, bi",Dassault Systèmes,Vélizy-Villacoublay (78),30,"['4,0']"
Stage en modélisation financière,Pwc,Neuilly-sur-Seine (92),30,"['4,0']"
Auditeur h/f 32-36k€,Fiteco,Caen (14),30,"['2,8']"
Data scientist monetisation / fraude,Happn,Paris (75),30,Not specified
Pricing analyst international,L'Olivier Assurance,Paris 20e (75),30,"['4,0']"
Analyste data performance,Bouygues Telecom,Meudon (92),30,"['3,8']"
Data analyst marketing,Novencia,Paris (75),30,"['5,0']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Business analyst en business intelligence,Eurofins France Agro-Alimentaire,Nantes (44),30,Not specified
Analyste - lead data migration - workday,Everbe,Pessac (33),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Junior investment monitoring analyst - apprenticeship,Gie Axa,Paris (75),30,"['3,9']"
"Analyste ""investissement"" - stage -",Le Groupe Savills,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data scientist / analyste reporting réglementaire,Amf,Paris (75),30,"['3,3']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Digital data analyste / freelance,Freelance.Com,Niort (79),30,Not specified
Alternance - 1 an - chargé d'études statistiques - data anal...,Natixis,Paris (75),30,"['3,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Business analyst salesforce,Orange,Nanterre (92),30,"['4,1']"
Junior investment monitoring analyst - apprenticeship,Gie Axa,Paris (75),30,"['3,9']"
Senior data analyst pour une plateforme média grand public,Data Recrutement,Paris (75),30,Not specified
Marketing analyst,Imerys,Paris (75),30,"['3,7']"
Conducteur de travaux junior - stage 3-6 mois,Nexity,Paris (75),30,"['3,1']"
Data analyst / digital marketing internship,Urban Circus,Saint-Denis (93),30,Not specified
Consultants juniors (en stage,Alixio,France,30,Not specified
Business & portfolio analyst,Quadra,France,30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Data analyst – success story reconnue,Konekt,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Ull stack engineer (remote,Dataiku,Télétravail,30,Not specified
Analyste en prospective,Gie Axa,Paris (75),30,"['3,9']"
Data scientist : analyste sémantique appliquée / chatbot - s...,Beijaflore,Paris (75),30,"['3,5']"
Lead data analyst,Hays,Nord,30,"['3,6']"
Business analyst h/f façon nantaise,Polymont,Nantes (44),30,"['3,5']"
Responsable data analyst,Bouygues Telecom,Meudon (92),30,"['3,8']"
Stage - consultant(e) data,Wizaly,Paris (75),30,Not specified
Alternance - 1 an - data analyst connaissance clients (h/f)...,Bpce Sef,Paris (75),30,"['3,5']"
Business analyst sir,Aubay,Nantes (44),30,"['3,3']"
Data analyst junior ou senior,Data Recrutement,Paris (75),30,Not specified
Sales forecasting & strategic marketing analyst,Psapeugeotcitroen,Poissy (78),30,"['4,0']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Analyste financier,Groupe Vyv,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data scientist : analyste sémantique appliquée / chatbot - s...,Beijaflore,Paris (75),30,"['3,5']"
Alternance data manager junior issy-les-moulineaux (92,Nestle,Marne-la-Vallée (77),30,"['4,2']"
Data analyst / business analyst - paris -,Autobiz,Courbevoie (92),30,"['3,0']"
Data-analyst,Ux-Republic,Paris 8e (75),30,Not specified
Data analyst pour une startup de la fintech engagée,Data Recrutement,Paris (75),30,Not specified
Internship or apprenticeship - retail analyst (m/f) - allian...,Allianz France,Paris (75),30,"['3,9']"
Prévisionniste - data analyst,Blique Actimum,France,30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst,G7,Clichy (92),30,"['3,2']"
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Compensation services analyst,Apple,Paris (75),30,"['4,2']"
Data analyst bi,Capfi Vita Data,Paris 8e (75),30,Not specified
Analyste risque crédit quantitati,Arkea,Strasbourg (67),30,"['4,1']"
Paris - tech m&a analyst (0-2years of expe.) - boutique,Sainoo,Paris (75),30,Not specified
Consultant bi - data intelligence,Micropole,Levallois-Perret (92),30,"['3,2']"
Raud and risk analyst,Hipay,Levallois-Perret (92),30,"['3,0']"
"Analyste junior governance, compliance & regulatory",Deloitte,La Défense (92),30,"['4,0']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Alternance data analyst h/f sainghin-en-melantois,Verisure Par Securitas Direct,Sainghin-en-Mélantois (59),30,"['3,7']"
Alternance h/f data analyst- business object,Stmicroelectronics,Rousset (13),30,"['4,1']"
Alternance - business analyst,Roche,Montbonnot-Saint-Martin (38),30,"['4,2']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst kyc / freelance,Parteck Ingenierie,Paris (75),30,Not specified
Consultant data gouvernance,Keyrus Life Science,France,30,Not specified
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Sales forecasting & strategic marketing analyst,Psapeugeotcitroen,Poissy (78),30,"['4,0']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Sales ops analyst intern ( 6 months,Criteo,Paris 9e (75),30,"['4,0']"
Data analyst,Calypse Consulting,Paris (75),30,Not specified
Data analyst manager (m/f/d,Artefact,Paris (75),30,"['4,4']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst kyc / freelance,Parteck Ingenierie,Paris (75),30,Not specified
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data engineer -,Ag2R La Mondiale,Paris (75),30,"['3,9']"
Consultant data analyst (h/f) - cdi,Mydral,Paris 2e (75),30,"['3,7']"
Data analyst,Actimage,Paris (75),30,"['3,2']"
Business analyst / consultant,Valuement,Paris (75),30,Not specified
Data analyst - business intelligence,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage - chef de projet qualité,Back Market,Bordeaux (33),30,"['4,5']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Stagiaire business analyst,Eco Emballages,France,30,"['4,5']"
Business data analyst (post bac) - contrat de professionnali...,Ey,France,30,"['4,0']"
Business intelligence analyst,Doctolib,Paris (75),30,"['4,0']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Travel program analyst,Jll,Paris (75),30,"['3,8']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Internship or apprenticeship - retail analyst (m/f) - allian...,Allianz France,Paris (75),30,"['3,9']"
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Data scientist h/f - be4897,Pro Btp Groupe,Vincennes (94),30,"['2,7']"
Business analyst,Dekra,Bordeaux (33),30,"['3,6']"
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Assistant analyste quantitatif h/f - stage,La Banque Postale,Paris (75),30,"['3,8']"
Stage - customer service data analyst (h/f) - septembre 2020,Mars,Aimargues (30),30,"['3,9']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Cdi - country performance analyst h/f - petit bateau !,Groupe Yves Rocher,Paris (75),30,"['4,1']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Analyste de données,Edf,Hauts-de-Seine,30,"['4,1']"
Data analyst finance,Fyte,Reims (51),30,"['4,7']"
Data analyst junior,Gojob,Aix-en-Provence (13),30,"['4,2']"
Market intelligence director,Doctolib,France,30,"['4,0']"
Analyste de données,Solocal Group,Boulogne-Billancourt (92),30,"['3,4']"
Alternance - data engineer,Bouygues Telecom,Meudon (92),30,"['3,8']"
"Business analyst, headquarters",Pernod Ricard,Paris (75),30,"['4,2']"
Data business analyst,Groupe Pierre & Vacances - Center Parcs,Paris (75),30,"['3,8']"
Data scientist / analyste reporting réglementaire,Amf,Paris (75),30,"['3,3']"
Data analyst gcp / freelance,Duonext,Paris (75),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst junior,Gojob,Aix-en-Provence (13),30,"['4,2']"
Data analyst it,Lucernys,Paris (75),30,Not specified
Business analyst en efficacité commerciale/sales force effec...,Roche,Boulogne-Billancourt (92),30,"['4,2']"
Sales forecasting & strategic marketing analyst,Psapeugeotcitroen,Poissy (78),30,"['4,0']"
Analyste expert applicatif rennes (35,Imsa,Rennes (35),30,Not specified
Business excellence leader,Transdev,Issy-les-Moulineaux (92),30,"['3,2']"
"Analyste ""investissement"" - stage -",Le Groupe Savills,Paris (75),30,Not specified
Data analyst – success story reconnue,Konekt,Paris (75),30,Not specified
P&c actuarial analyst -,Gie Axa,Paris (75),30,"['3,9']"
Supply and planning analyst,Bic,Marne-la-Vallée (77),30,"['3,9']"
Data analyste dans le domaine des transports et de la logist...,Orange,Rennes (35),30,"['4,1']"
Data analyst bioinformatique,Universite D'Aix Marseille,Marseille 9e (13),30,Not specified
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
Bid manager data solution,Engie It,Saint-Ouen (93),30,"['3,7']"
Data analytics teacher assistant (freelance mission,Ironhack,Paris 11e (75),30,Not specified
Apprenticeship: strategy analyst (f/m,Hydrogen,Courbevoie (92),30,Not specified
Junior investment monitoring analyst,Gie Axa,Paris (75),30,"['3,9']"
Digital data analyste / freelance,Freelance.Com,Niort (79),30,Not specified
"Data engineer - developer & solution analyst (3d : digital,...",Caceis,Issy-les-Moulineaux (92),30,"['3,8']"
Ull stack engineer - dss (remote,Dataiku,Télétravail,30,Not specified
Data analyst,Acii,Paris (75),30,Not specified
Sales operations analyst,Talend,Suresnes (92),30,"['4,0']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Stage web analyst,Elysees Education Group,Paris 8e (75),30,"['1,7']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Data analyst,Groupement Les Mousquetaires,Issy-les-Moulineaux (92),30,"['2,9']"
"Stage analyste crédit, courbevoie",Hsbc,Courbevoie (92),30,"['4,0']"
Data analyst - business intelligence junior,Bca Expertise,Asnières-sur-Seine (92),30,"['3,1']"
Analyste financier / business analyst,Enr'Cert,Paris 8e (75),30,Not specified
Technical business analyst (junior,Jicap-Performance,Paris (75),30,Not specified
