CommonName,DielActivity,Locomotion,HomeRange_ha,Status,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Average_Weight
Allen_s_Swamp_Monkey,D,BOTH,,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.300000000000002
Hairy_eared_Dwarf_Lemur,N,AR,25.75,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
L_Hoest_s_Monkey,D,T,116.6,VU,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
Preuss_s_Monkey,D,T,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
Sun_tailed_Monkey,D,BOTH,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Ursine_Red_Howler,D,AR,7.52,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.37
Red_handed_Howler,D,AR,7.125,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
Paraguayan_Howler,D,AR,1.95,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.38
Spix_s_Howler,D,AR,69.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37
Brown_Howler,D,AR,26.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54
Guianan_Red_Howler,D,AR,45.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.37
Amazon_Black_Howler,D,AR,25.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.45
Mantled_Howler,D,AR,40.45,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12
Central_American_Black_Howler,D,AR,16.86,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56
Bolivian_Red_Howler,D,AR,,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.5
Colombian_Red_Howler,D,AR,22.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.92
Maranhão_Red_handed_Howler,D,,,,,,,,,,,
Azara_s_Night_Monkey,CA,AR,7.0,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.21
Brumback_s_Night_Monkey,N,AR,17.5,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67
Gray_legged_Night_Monkey,N,AR,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
Hernández_Camacho_s_Night_Monkey,N,,,,,,,,,,,
Lemurine_Night_Monkey,N,AR,4.35,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
Andean_Night_Monkey,N,AR,1.23,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Ma_s_Night_Monkey,N,AR,9.2,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79
Black_headed_Night_Monkey,N,AR,10.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
Humboldt_s_Night_Monkey,N,AR,4.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
Spix_s_Night_Monkey,N,AR,6.3,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Panamanian_Night_Monkey,N,AR,8.0,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Golden_Angwantibo,N,AR,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
Calabar_Angwantibo,N,AR,10.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
White_bellied_Spider_Monkey,D,AR,269.9166666666667,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07
Black_Spider_Monkey,D,AR,192.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37
Brown_headed_Spider_Monkey,D,AR,,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03
Central_American_Spider_Monkey,D,AR,388.09714285714284,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54
Variegated_Spider_Monkey,D,AR,40.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
White_whiskered_Spider_Monkey,D,AR,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1
Red_faced_Black_Spider_Monkey,D,AR,255.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28
Betsileo_Woolly_Lemur,N,AR,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92
Bemaraha_Woolly_Lemur,N,AR,2.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03
Eastern_Woolly_Lemur,N,AR,1.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17
Southern_Woolly_Lemur,N,AR,5.72,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15
Masoala_Woolly_Lemur,N,AR,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92
Western_Woolly_Lemur,N,AR,0.95,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Peyrieras_s_Woolly_Lemur,N,AR,1.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08
Manombo_Woolly_Lemur,N,AR,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
Sambirano_Woolly_Lemur,N,AR,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
Southern_Muriqui,D,AR,340.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84
Northern_Muriqui,D,AR,309.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Ayres_Black_Uakari,,,,VU,,,,,,,,
Bald_Uacari,D,AR,493.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17
Black_headed_Uacari,D,AR,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94
Spix_s_Black_headed_Uacari,D,AR,500.0,VU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.35
Black_crowned_Dwarf_Marmoset,D,AR,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Blond_Titi,D,AR,50.0,CR,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.15
Coimbra_Filho_s_Titi,D,AR,10.0,EN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Southern_Bahian_Titi,D,AR,22.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
Black_fronted_Titi,D,AR,34.5,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Masked_Titi,D,AR,11.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32
Goeldi_s_Monkey*,D,AR,150.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
Buffy_tufted_ear_Marmoset,D,AR,11.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
Buffy_headed_Marmoset,D,AR,35.5,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
Geoffroy_s_Tufted_ear_Marmoset,D,AR,23.3,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24
Common_Marmoset,D,AR,2.2,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32
Wied_s_Black_tufted_ear_Marmoset,D,AR,38.9,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
Black_tufted_ear_Marmoset,D,AR,12.8,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33
Philippine_Tarsier,N,AR,4.4030000000000005,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
Eastern_Pygmy_Marmoset,,,,LC,,,,,,,,
Pygmy_Marmoset,D,AR,0.34,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Ecuadorian_White_fronted_Capuchin,D,AR,288.0,CR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.19
Humboldt_s_White_fronted_Capuchin,D,BOTH,115.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
Venezuelan_Brown_Capuchin,D,AR,84.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colombian_White_faced_Capuchin,D,AR,59.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.11
Río_Cesar_White_fronted_Capuchin,D,,,,,,,,,,,
Shock_headed_Capuchin,D,AR,150.0,NT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.85
Panamanian_White_faced_Capuchin,D,AR,134.4,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22
Ka_apor_Capuchin,D,AR,62.4,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
Sierra_de_Perijá_White_fronted_Capuchin,D,,,,,,,,,,,
Santa_Marta_White_fronted_Capuchin,D,AR,,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Guianan_Weeper_Capuchin,D,AR,257.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88
Spix_s_White_fronted_Capuchin,D,AR,,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
Varied_White_fronted_Capuchin,D,AR,,EN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.74
Marañón_White_fronted_Capuchin,D,,,,,,,,,,,
Western_Tarsier,N,AR,1.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
Agile_Mangabey,D,BOTH,303.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58
Sooty_Mangabey,D,T,500.0,NT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.6
Golden_bellied_Mangabey,D,T,,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
Tana_River_Mangabey,D,BOTH,59.7,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44
White_naped_Mangabey,D,T,200.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28
Sanje_River_Mangabey,D,BOTH,240.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05
Red_capped_Mangabey,D,BOTH,247.4,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
Syke_s_Monkey,D,AR,14.25,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28
Red_tailed_Monkey,D,AR,22.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24
Campbell_s_Monkey,D,AR,72.375,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6
Moustached_Monkey,D,AR,44.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48
Dent_s_Monkey,D,AR,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54
Diana_Monkey,D,AR,63.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Silver_Monkey,D,AR,28.4,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dryas_Monkey,D,BOTH,4.9,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65
Red_bellied_Monkey,D,AR,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
Red_eared_Monkey,D,AR,31.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
Owl_faced_Monkey,D,BOTH,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43
Virungas_Golden_Monkey,D,AR,67.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
Lesula,D,BOTH,,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Lowe_s_Monkey,D,AR,14.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.9
Blue_Monkey,D,AR,175.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89
Mona_Monkey,D,AR,3.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05
De_Brazza_s_Monkey,D,BOTH,7.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.74
Putty_nosed_Monkey,D,AR,80.25,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.46
Spot_nosed_Monkey,D,AR,89.375,LC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.65
Crowned_Monkey,D,AR,100.0,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.58
Roloway_Monkey,D,AR,189.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55
Sclater_s_Monkey,D,AR,25.0,VU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.25
Wolf_s_Monkey,D,AR,,LC,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.34
Montagne_d_Ambre_Dwarf_Lemur,N,,,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Crossley_s_Dwarf_Lemur,N,AR,,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
Lavasoa_Dwarf_lemur,N,,,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Greater_Dwarf_Lemur,N,AR,4.0,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
Fat_tailed_Dwarf_Lemur,N,AR,1.56,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17666666666666667
Lesser_Iron_gray_Dwarf_Lemur,N,AR,,DD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
 Sheth's_Dwarf_Lemur,,,,Unrated,,,,,,,,
Sibree_s_Dwarf_Lemur,N,AR,6.4,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Thomas_s_Dwarf_Lemur,N,,,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Yellow_handed_Titi,D,AR,20.0,LC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5
White_chested_Titi,D,AR,14.2,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
Medem_s_Titi,D,AR,,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
Rio_Purus_Titi,D,AR,45.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Rio_Juruá_Collared_Titi,D,,,,,,,,,,,
White_collared_Titi,D,AR,20.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25
White_nosed_Bearded_Saki,D,AR,210.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82
Rio_Negro_Beared_Saki,D,AR,142.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74
 Brown_backed_Bearded_Saki,,,,Unrated,,,,,,,,
Guianan_Beared_Saki,D,AR,507.0,NE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Black_Bearded_Saki,D,AR,58.0,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03
Uta_Hick_s_Bearded_Saki,D,AR,100.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Grivet_Monkey,D,T,54.30400000000001,LC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.65
Malbrouck_Monkey,D,T,,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.98
Bale_Monkey,D,BOTH,15.2,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98
Vervet_Monkey,D,T,25.0,LC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.63
Green_Monkey,D,T,160.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.3
Tantalus_Monkey,D,T,66.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.65
Angolan_Colobus,D,AR,371.0,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
Guereza,D,AR,15.45,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89
King_Colobus,D,AR,40.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
Black_Colobus,D,AR,573.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91
White_thighed_Colobus,D,AR,48.0,VU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.68
Aye_aye,N,AR,102.95,EN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.56
Patas_Monkey,D,T,2851.0,LC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.45
Heuglin's_Patas_Monkey,,,,Unrated,,,,,,,,
White_fronted_Brown_Lemur,CA,AR,13.1,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
White_collared_Brown_Lemur,CA,AR,56.65,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16
Red_collared_Brown_Lemur,CA,AR,58.65,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
Crowned_Lemur,CA,AR,7.53,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65
Blue_eyed_Black_Lemur,CA,AR,5.28,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82
Brown_Lemur,CA,AR,16.2,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05
Black_Lemur,CA,AR,19.1,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.063333333333333
Mongoose_Lemur,CA,AR,2.85,CR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48
Red_bellied_Lemur,CA,AR,19.0,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
Red_fronted_Brown_Lemur,CA,AR,22.06,NT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21
Rufous_Brown_Lemur,CA,AR,97.5,VU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01
Sanford_s_Brown_Lemur,CA,AR,14.0,EN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
Southern_Needle_clawed_Galago,N,AR,6.7,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Northern_Needle_clawed_Galago,N,AR,2.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253
Somali_Lesser_Galago,N,AR,2.0,LC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Spectacled_Lesser_Galago,N,AR,,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
Southern_Lesser_Galago,N,AR,2.8,LC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Northern_Lesser_Galago,N,AR,6.5,LC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25
Kenya_Coast_Dwarf_Galago,N,AR,1.95,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
Demidoff_s_Dwarf_Galago,N,AR,1.6,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Mozambique_Dwarf_Galago,N,AR,2.5,LC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134
